"","Site","Stream","lat","long","year","impervious_surface"
"1","BDB1","Beaverdam Branch",35.824303,-78.650559,"2008",11.2835820895522
"2","BDB1","Beaverdam Branch",35.824303,-78.650559,"2011",11.7634902411022
"3","BDB1","Beaverdam Branch",35.824303,-78.650559,"2013",12.9758897818599
"4","BDB1","Beaverdam Branch",35.824303,-78.650559,"2016",13.6360505166475
"5","BDB1","Beaverdam Branch",35.824303,-78.650559,"2019",13.8932261768083
"6","BDB1","Beaverdam Branch",35.824303,-78.650559,"2021",14.2602739726027
"7","BB2","Big Branch",35.822637,-78.629735,"2008",24.3080459770115
"8","BB2","Big Branch",35.822637,-78.629735,"2011",24.5413793103448
"9","BB2","Big Branch",35.822637,-78.629735,"2013",25.3954022988506
"10","BB2","Big Branch",35.822637,-78.629735,"2016",27.048275862069
"11","BB2","Big Branch",35.822637,-78.629735,"2019",28.2448275862069
"12","BB2","Big Branch",35.822637,-78.629735,"2021",28.9954180985109
"13","BBS3","Big Branch South",35.743394,-78.568786,"2008",4.23569794050343
"14","BBS3","Big Branch South",35.743394,-78.568786,"2011",4.31006864988558
"15","BBS3","Big Branch South",35.743394,-78.568786,"2013",5.33180778032037
"16","BBS3","Big Branch South",35.743394,-78.568786,"2016",5.59382151029748
"17","BBS3","Big Branch South",35.743394,-78.568786,"2019",5.68764302059497
"18","BBS3","Big Branch South",35.743394,-78.568786,"2021",6.94833524684271
"19","CC4","Crabtree Creek West",35.843795,-78.7266,"2008",1.87399770904926
"20","CC4","Crabtree Creek West",35.843795,-78.7266,"2011",2.29438717067583
"21","CC4","Crabtree Creek West",35.843795,-78.7266,"2013",5.17182130584192
"22","CC4","Crabtree Creek West",35.843795,-78.7266,"2016",5.48109965635739
"23","CC4","Crabtree Creek West",35.843795,-78.7266,"2019",5.58533791523482
"24","CC4","Crabtree Creek West",35.843795,-78.7266,"2021",6.02290950744559
"25","CC5","Crabtree Creek East",35.791234,-78.58823,"2008",20.1933638443936
"26","CC5","Crabtree Creek East",35.791234,-78.58823,"2011",20.4267734553776
"27","CC5","Crabtree Creek East",35.791234,-78.58823,"2013",20.8100686498856
"28","CC5","Crabtree Creek East",35.791234,-78.58823,"2016",21.862700228833
"29","CC5","Crabtree Creek East",35.791234,-78.58823,"2019",21.9096109839817
"30","CC5","Crabtree Creek East",35.791234,-78.58823,"2021",22.7298850574713
"31","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2008",25.812356979405
"32","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2011",26.2597254004577
"33","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2013",26.41647597254
"34","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2016",26.5652173913043
"35","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2019",26.6716247139588
"36","HSC6","Hare Snipe Creek",35.845044,-78.688466,"2021",27.0149253731343
"37","HC7","House Creek",35.834072,-78.677525,"2008",26.9447640966628
"38","HC7","House Creek",35.834072,-78.677525,"2011",26.945914844649
"39","HC7","House Creek",35.834072,-78.677525,"2013",34.6225546605293
"40","HC7","House Creek",35.834072,-78.677525,"2016",35.1472957422325
"41","HC7","House Creek",35.834072,-78.677525,"2019",38.3164556962025
"42","HC7","House Creek",35.834072,-78.677525,"2021",38.2780320366133
"43","LBC8","Little Brier Creek",35.889018,-78.796077,"2008",20.6754285714286
"44","LBC8","Little Brier Creek",35.889018,-78.796077,"2011",20.6754285714286
"45","LBC8","Little Brier Creek",35.889018,-78.796077,"2013",20.6754285714286
"46","LBC8","Little Brier Creek",35.889018,-78.796077,"2016",20.7737142857143
"47","LBC8","Little Brier Creek",35.889018,-78.796077,"2019",20.8765714285714
"48","LBC8","Little Brier Creek",35.889018,-78.796077,"2021",19.2894736842105
