"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Poor Little Fool","Ricky Nelson","4-Aug-58",2,4,"Pop;Rock",154,1,1,0,18,155,33,54,80,-12,"C",0
"Nel Blu Dipinto Di Blu","Domenico Modugno","18-Aug-58",5,6.33,"Pop",219,1,1,0,30,130,6,55,48,-17,"Bb",0
"Little Star","The Elegants","25-Aug-58",1,5.67,"Rock",163,1,1,0,17,73,40,41,70,-13,"A",0
"It's All in the Game","Tommy Edwards","29-Sep-58",6,4.33,"Pop",156,1,0,1,35,71,15,33,61,-18,"Eb",0
"It's Only Make Believe","Conway Twitty","10-Nov-58",2,8,"Pop",134,1,1,0,25,127,43,44,36,-10,"B",0
"Tom Dooley","The Kingston Trio","17-Nov-58",1,4,"Folk/Country",185,1,1,0,24,126,14,63,52,-15,"E",0
"To Know Him is to Love Him","The Teddy Bears","1-Dec-58",3,8,"Pop",142,2,1,0,18,175,20,32,35,-16,"Multiple Keys",0
"The Chipmunk Song","The Chipmunks","22-Dec-58",4,2.67,"Pop",141,1,0,0,39,153,37,61,78,-12,"Ab",0
"Smoke Gets in Your Eyes","The Platters","19-Jan-59",3,8.67,"Pop",158,2,0,1,30,113,27,32,26,-11,"Multiple Keys",0
"Stagger Lee","Lloyd Price","2-Feb-59",4,7,"Rock",145,1,0,1,25,71,62,36,79,-8,"Eb",0
"Venus","Frankie Avalon","9-Mar-59",5,2.33,"Pop",142,1,1,0,18,115,48,56,75,-10,"Bb",0
"Come Softly to Me","The Fleetwoods","13-Apr-59",4,8,"Pop",145,2,1,0,19,123,9,60,67,-18,"Db",0
"The Happy Organ","Dave ""Baby"" Cortez","11-May-59",1,4.67,"Rock",122,1,0,1,20,91,87,65,97,-9,"Db",0
"Kansas City","Wilbert Harrison","18-May-59",2,6.67,"Rock",145,1,0,1,30,115,67,73,91,-6,"Db",0
"The Battle of New Orleans","Johnny Horton","1-Jun-59",6,1.33,"Folk/Country;March",151,1,1,0,34,89,75,70,92,-12,"A",0
"Lonely Boy","Paul Anka","13-Jul-59",4,4,"Pop",151,1,1,0,17,106,61,62,80,-10,"C",0
"Big Hunk o' Love","Elvis Presley","10-Aug-59",2,6,"Rock",141,1,1,0,24,87,93,55,96,-8,"C",0
"The Three Bells (Les Trois Cloches)","The Browns","24-Aug-59",4,5.33,"Pop;Folk/Country",174,2,1,0,25,106,33,46,32,-10,"G",0
"Sleep Walk","Santo & Johnny","21-Sep-59",2,7.67,"Rock",151,1,1,0,20,92,41,44,35,-12,"C",0
"Mack the Knife","Bobby Darin","5-Oct-59",9,8.33,"Jazz",184,1,1,0,23,83,53,55,46,-12,"Multiple Keys",0
"Mr. Blue","The Fleetwoods","16-Nov-59",1,4.67,"Pop",145,2,1,0,19,97,9,37,21,-17,"E",0
"Heartaches by the Number","Guy Mitchell","14-Dec-59",2,3.67,"Pop",155,1,1,0,32,172,59,58,84,-11,"F",0
"Why","Frankie Avalon","28-Dec-59",1,3,"Pop",158,1,1,0,19,94,35,51,59,-9,"C",0
"El Paso","Marty Robbins","4-Jan-60",2,7,"Folk/Country",259,1,1,0,34,107,45,65,69,-10,"D",0
"Running Bear","Johnny Preston","18-Jan-60",3,5.33,"Rock",158,1,1,0,20,120,30,77,82,-15,"Bb",0
