"Stream","DO_rank","ph_rank","nitrate_rank","phosp_rank","turbidity_rank","E_coli_rank","wq_score"
"Big Branch",4,4,3,4,3,1,19
"Big Branch South",3,4,3,4,3,1,18
"Beaverdam Branch",4,4,3,4,3,1,19
"Crabtree Creek West",3,4,3,4,3,1,18
"Crabtree Creek East",3,4,3,4,3,1,18
"House Creek",4,4,3,4,3,1,19
"Hare Snipe Creek",4,4,3,4,3,1,19
"Little Brier Creek",2,4,3,4,3,1,17
"Mine Creek",4,4,3,4,3,1,19
"Marsh Creek",4,4,3,4,3,1,19
"Perry Creek",3,4,3,4,3,1,18
"Pigeon House Branch",4,4,3,4,3,1,19
"Rocky Branch",4,4,3,4,3,1,19
"Richland Creek",4,4,3,4,3,1,19
"Richland Creek-WF",4,4,3,4,3,1,19
"Sycamore Creek",4,4,3,4,3,1,19
"Turkey Creek",3,4,3,4,3,1,18
"Walnut Creek",4,4,3,4,3,1,19
