"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2015-10-08","CT_Umstead",24,60,240,9.02,NA,18.1,24,NA,7.06,79.4,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-12","Pigeon_House",39,100,1500,11.37,0,7.1,44,NA,6.91,98.3,NA,NA,NA,NA,NA,NA,NA,NA
"2015-10-08","Pigeon_House",85,4.9,1500,5.88,0,18.3,0,NA,7.14,307.4,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-04","CT_WakeForestRd",NA,30,100,13.66,NA,5.6,NA,NA,6.42,231.3,NA,NA,NA,0.07,NA,NA,NA,NA
"2015-07-08","CT_EbenezerChurch",34,17,340,6.2,NA,28.1,17,0.03,7.29,149.1,NA,0.14,NA,NA,0.9,NA,NA,NA
"2015-10-08","CT_EbenezerChurch",24,50,120,8.55,NA,17.8,23,0.1,7.15,93,NA,0.12,NA,NA,0.71,NA,NA,NA
"2015-06-05","NeuseRiver",NA,3,1,7.95,NA,24.5,NA,0.04,7.3,99.8,NA,0.02,NA,NA,0.46,NA,NA,NA
"2015-06-05","Pigeon_House",NA,10,2400,7.18,0,19.1,NA,NA,6.9,275.6,NA,NA,NA,NA,NA,NA,NA,NA
"2015-10-26","NeuseRiver",32,3.7,20,8.14,NA,18.3,0,0.14,7.19,112.5,NA,0.02,NA,NA,0.6,NA,NA,NA
"2015-05-11","CT_EbenezerChurch",NA,9.5,170,6.73,NA,21.8,NA,0.08,7.03,221.2,NA,0.27,NA,NA,0.72,NA,NA,NA
"2015-08-03","CT_EbenezerChurch",NA,5.1,260,5.82,NA,24.5,NA,0.04,7.42,318.6,NA,0.26,NA,NA,0.75,NA,NA,NA
"2015-07-08","CT_Umstead",28,28,110,6.4,NA,29.9,24,NA,7.51,107,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-12","CT_Umstead",290,50,620,13.69,NA,4.5,25,NA,7,88.3,NA,NA,NA,NA,NA,NA,NA,NA
"2015-11-06","Pigeon_House",NA,2.3,1200,5.82,0,18.7,NA,NA,7.06,354.3,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-04","CT_Umstead",NA,45,96,13.7,NA,6.3,NA,NA,7.02,112,NA,NA,NA,NA,NA,NA,NA,NA
"2015-04-09","CT_WakeForestRd",41,24,3500,7.87,NA,19.1,37,NA,7.06,191.2,NA,NA,NA,0.11,NA,NA,NA,NA
"2015-11-06","CT_EbenezerChurch",NA,38,220,8.29,NA,18.6,NA,0.04,7.09,103.3,NA,0.13,NA,NA,0.77,NA,NA,NA
"2015-10-01","NeuseRiver",NA,3.8,6,7.93,NA,23.5,NA,0,6.95,109,NA,0.02,NA,NA,0.43,NA,NA,NA
"2015-03-04","Pigeon_House",NA,6.7,720,5.56,0,8.6,NA,NA,6.59,8542,0.4,NA,0,0.07,NA,480,25,NA
"2015-03-19","NeuseRiver",NA,8.2,1,12.97,NA,8.4,NA,0.06,7.03,96.1,NA,0.04,NA,0,0.62,NA,NA,NA
"2015-11-06","CT_WakeForestRd",NA,32,240,9.33,NA,18.3,NA,NA,7.08,105.1,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-04","CT_EbenezerChurch",NA,33,38,13.5,NA,6.5,NA,0.04,6.93,148.6,NA,0.11,NA,NA,0.67,NA,NA,NA
"2015-04-09","NeuseRiver",29,10,38,10.27,NA,11.3,8.5,0.18,6.82,98.7,NA,0.04,NA,NA,0.67,NA,NA,NA
"2015-01-23","NeuseRiver",25,6.1,3,13.72,NA,6.8,0,0.03,6.21,97.3,NA,0.03,NA,NA,0.59,NA,NA,NA
"2015-02-04","NeuseRiver",NA,6.5,3,14.3,NA,6,NA,0.03,6.96,95.2,NA,0.04,NA,NA,0.63,NA,NA,NA
"2015-05-11","CT_WakeForestRd",NA,23,1500,7.73,NA,20.7,NA,NA,6.8,132.7,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-12","CT_EbenezerChurch",39,75,280,13.05,NA,5,92,0.1,7.08,90.4,NA,0.17,NA,NA,0.75,NA,NA,NA
"2015-05-11","Pigeon_House",NA,11,1500,8.03,0,19.8,NA,NA,6.87,1121,NA,NA,NA,NA,NA,NA,NA,NA
"2015-12-01","NeuseRiver",NA,6.7,2,9.82,NA,13.5,NA,0.16,7.43,108.3,NA,0.03,NA,NA,0.68,NA,NA,NA
"2015-09-02","CT_EbenezerChurch",NA,32,240,7.29,NA,25.1,NA,0.08,7.33,106.1,NA,0.15,NA,NA,1.1,NA,NA,NA
"2015-05-11","NeuseRiver",NA,6.6,23,8.86,NA,16.8,NA,0.25,6.51,99.8,NA,0.03,NA,NA,0.66,NA,NA,NA
"2015-06-05","CT_WakeForestRd",NA,6.1,220,7.88,NA,20.1,NA,NA,6.87,209.6,NA,NA,NA,NA,NA,NA,NA,NA
"2015-09-02","CT_WakeForestRd",NA,20,620,6.65,NA,25.4,NA,NA,7.33,127,NA,NA,NA,NA,NA,NA,NA,NA
"2015-07-08","CT_WakeForestRd",32,17,310,7.62,NA,27.6,15,NA,7.45,140,NA,NA,NA,NA,NA,NA,NA,NA
