"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Saturday",7,"February",2015,"CHAPANOKE RD","No Special Feature","Clear","Stop and go signal"
"Tuesday",10,"March",2015,"SANDY FORKS RD","No Special Feature","Clear","No control present"
"Thursday",19,"March",2015,"NEW BERN AVE","No Special Feature","Clear","Stop and go signal"
"Monday",23,"March",2015,"WAKE FOREST RD","No Special Feature","Clear","Stop and go signal"
"Saturday",28,"March",2015,"KING CHARLES RD","No Special Feature","Clear","Stop and go signal"
"Saturday",28,"March",2015,"W. MORGAN ST.","No Special Feature","Clear","No control present"
"Friday",3,"April",2015,"HILLSBOROUGH ST","Four-way intersection","Clear","Stop and go signal"
"Sunday",5,"April",2015,"NEW BERN AVE","No Special Feature","Clear","No control present"
"Friday",10,"April",2015,"WESVILL CT","No Special Feature","Clear","No control present"
"Saturday",11,"April",2015,"HILLSBOROUGH ST","T-intersection","Clear","Stop and go signal"
"Monday",13,"April",2015,"TRAILWOOD HILLS DR","No Special Feature","Clear","No control present"
"Monday",13,"April",2015,"LEESVILLE RD","T-intersection","Clear","No control present"
"Sunday",12,"April",2015,"NAVAHO DR","No Special Feature","Clear","No control present"
"Friday",17,"April",2015,"WESTERN  BLVD","No Special Feature","Clear","No control present"
"Saturday",18,"April",2015,"FAYETTEVILLE ST","No Special Feature","Clear","No control present"
"Wednesday",22,"April",2015,"6131 SIX FORKS RD","Driveway, private","Clear","No control present"
"Saturday",25,"April",2015,"GARNER RD","No Special Feature","Clear","No control present"
"Friday",24,"April",2015,"BRENTWOOD RD","Four-way intersection","Clear","Stop and go signal"
"Monday",4,"May",2015,"SHARPE DR","Driveway, public","Clear","No control present"
"Friday",8,"May",2015,"PENDER ST","No Special Feature","Clear","Stop sign"
"Monday",11,"May",2015,"BRAGG ST","No Special Feature","Cloudy","No control present"
"Thursday",7,"May",2015,"2501 NEW HOPE CHURCH R","Driveway, private","Clear","No control present"
"Saturday",23,"May",2015,"TRAWICK RD","No Special Feature","Clear","Stop sign"
"Sunday",24,"May",2015,"TRAWICK RD","No Special Feature","Clear","No control present"
"Saturday",6,"June",2015,"1601 CROSSLINK RD","","Clear",""
"Tuesday",16,"June",2015,"E MILLBROOK RD","Four-way intersection","Clear","Stop sign"
"Wednesday",17,"June",2015,"NORTHBROOK DR","No Special Feature","Clear","Stop and go signal"
"Saturday",20,"June",2015,"HILLSBOROUGH ST","Four-way intersection","Clear","Stop and go signal"
"Saturday",20,"June",2015,"RAY RD","No Special Feature","Clear","No control present"
"Wednesday",24,"June",2015,"LAKE WHEELER RD","No Special Feature","Clear","No control present"
"Thursday",25,"June",2015,"HUNTLEIGH DR","No Special Feature","Clear","No control present"
"Saturday",27,"June",2015,"CAPITAL BLVD","No Special Feature","Cloudy","No control present"
"Tuesday",30,"June",2015,"CENTENNIAL  PKWY","Four-way intersection","Clear","Stop and go signal"
"Saturday",4,"July",2015,"1100 N RALEIGH BLVD","Driveway, public","Rain","No control present"
"Monday",6,"July",2015,"HONEYCUTT RD","Related to intersection","Clear","Stop and go signal"
"Sunday",12,"July",2015,"SIX FORKS RD","T-intersection","Clear","No control present"
"Friday",17,"July",2015,"440","On-ramp entry","Clear","Stop and go signal"
"Wednesday",22,"July",2015,"RALEIGH BLVD","T-intersection","Clear","Stop and go signal"
"Monday",3,"August",2015,"GLENWOOD AVE","No Special Feature","Clear","Stop and go signal"
"Saturday",8,"August",2015,"CAPITAL  BLVD","No Special Feature","Clear","No control present"
"Tuesday",11,"August",2015,"FAYETTEVILLE ST","No Special Feature","Rain","No control present"
"Monday",17,"August",2015,"BIGGS DR","No Special Feature","Clear","No control present"
"Monday",17,"August",2015,"MILBURNIE RD","T-intersection","Clear","No control present"
"Saturday",29,"August",2015,"HOYLE DR","T-intersection","Clear","Stop sign"
"Monday",31,"August",2015,"N ROGERS LN","T-intersection","Clear","Stop sign"
"Wednesday",2,"September",2015,"CREEDMOOOR RD","Four-way intersection","Clear","Stop and go signal"
"Saturday",5,"September",2015,"GLENWOOD AVE","No Special Feature","Clear","No control present"
"Saturday",5,"September",2015,"HARGETT ST","Four-way intersection","Clear","Stop and go signal"
"Tuesday",8,"September",2015,"NEW  BERN AVE","Four-way intersection","Fog, smog, smoke","Stop and go signal"
"Thursday",17,"September",2015,"FALLS  OF NEUSE RD","Y-intersection","Clear","Stop and go signal"
"Saturday",26,"September",2015,"PVA 505 CHAVIS WAY","No Special Feature","Rain","No control present"
"Tuesday",6,"October",2015,"DURANT RD","No Special Feature","Clear","Stop and go signal"
"Friday",2,"October",2015,"NEW HOPE RD","T-intersection","Rain","Stop sign"
"Wednesday",7,"October",2015,"SPRING FOREST RD","No Special Feature","Clear","No control present"
"Thursday",8,"October",2015,"W MORGAN ST","No Special Feature","Clear","No control present"
"Friday",9,"October",2015,"NEWTON RD","T-intersection","Clear","Stop and go signal"
"Sunday",11,"October",2015,"ORCHARD HOLLOW LANE","Driveway, private","Clear","No control present"
"Thursday",8,"October",2015,"5265 SIX FORKS RD","No Special Feature","Clear","No control present"
"Tuesday",13,"October",2015,"2201 SPRING FOREST RD","No Special Feature","Clear","Stop and go signal"
"Friday",23,"October",2015,"3710 WESTERN BLVD","No Special Feature","Clear","No control present"
"Friday",23,"October",2015,"SIX FORK RD","No Special Feature","Clear","No control present"
"Wednesday",4,"November",2015,"216 DEVILLE PL LOT 91","Driveway, private","Cloudy","No control present"
"Thursday",5,"November",2015,"2801 WAKE FOREST RD","No Special Feature","Cloudy","No control present"
"Friday",13,"November",2015,"WEST ST","Four-way intersection","Clear","Stop and go signal"
"Friday",20,"November",2015,"CAMERON ST","T-intersection","Clear","Stop and go signal"
"Friday",4,"December",2015,"ASHE AVE","No Special Feature","Clear","No control present"
"Friday",4,"December",2015,"NEW HOPE  CHURCH RD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",8,"December",2015,"S WILMINGTON ST","No Special Feature","Clear","Stop and go signal"
"Monday",21,"December",2015,"FALLS OF COMMONS DR","No Special Feature","Cloudy","Stop sign"
"Tuesday",22,"December",2015,"LAKE RIDGE DR","Four-way intersection","Cloudy","Stop sign"
"Wednesday",6,"January",2016,"BROOKS AVE","No Special Feature","Clear","No control present"
"Wednesday",6,"January",2016,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Sunday",10,"January",2016,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Wednesday",13,"January",2016,"N MCDOWELL ST","Four-way intersection","Clear","Stop and go signal"
"Saturday",30,"January",2016,"3715 WESTERN BLVD","T-intersection","Clear","No control present"
"Thursday",18,"February",2016,"GLENWOOD  AVE","Four-way intersection","Clear","Stop and go signal"
"Friday",19,"February",2016,"BILYEU ST","No Special Feature","Clear","No control present"
"Saturday",5,"March",2016,"DURANT RD","Four-way intersection","Clear","Stop and go signal"
"Wednesday",9,"March",2016,"4921 COOLRIDGE CT","Driveway, public","Clear","No control present"
"Sunday",13,"March",2016,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Tuesday",15,"March",2016,"HARGETT ST","Four-way intersection","Clear","Stop and go signal"
"Wednesday",23,"March",2016,"N WEST ST","No Special Feature","Clear","Stop and go signal"
"Monday",28,"March",2016,"MARTIN ST","Four-way intersection","Clear","Stop sign"
"Monday",4,"April",2016,"S SALISBURY ST","No Special Feature","Clear","Stop and go signal"
"Monday",4,"April",2016,"NEW  BERN AVE","No Special Feature","Clear","Stop and go signal"
"Saturday",16,"April",2016,"NEW BERN AVE","No Special Feature","Clear","No control present"
"Wednesday",20,"April",2016,"SUMMIT AVE","T-intersection","Clear","Stop sign"
"Thursday",21,"April",2016,"MARVINO LN","No Special Feature","Clear","No control present"
"Friday",22,"April",2016,"2005 NEW HOPE CHURCH R","Driveway, public","Cloudy","No control present"
"Saturday",23,"April",2016,"BOYLAN AVE","Four-way intersection","Clear","Stop and go signal"
"Sunday",8,"May",2016,"WESTERN  BLVD","Driveway, public","Clear","No control present"
"Monday",16,"May",2016,"CAPITAL  BLVD","No Special Feature","Clear","No control present"
"Sunday",15,"May",2016,"1506 QUAIL RIDGE RD","No Special Feature","Clear","No control present"
"Saturday",21,"May",2016,"HILL ST","No Special Feature","Clear","Stop sign"
"Saturday",28,"May",2016,"WAKEFIELD PLANTATION D","Traffic circle/roundabout","Clear","No control present"
"Monday",30,"May",2016,"410 GLENWOOD AVE","No Special Feature","Clear","No control present"
"Friday",10,"June",2016,"BUCK JONES RD","No Special Feature","Clear","No control present"
"Monday",13,"June",2016,"GORMAN ST","No Special Feature","Clear","Stop sign"
"Monday",13,"June",2016,"BRENTWOOD RD","No Special Feature","Clear","Stop sign"
"Wednesday",15,"June",2016,"YONKERS  RD","No Special Feature","Cloudy","Stop and go signal"
"Saturday",25,"June",2016,"S MCDOWELL ST","Four-way intersection","Clear","Stop and go signal"
"Thursday",30,"June",2016,"CREECH RD","T-intersection","Clear","Stop and go signal"
"Thursday",14,"July",2016,"JONES FRANKLIN RD","No Special Feature","Clear","Stop and go signal"
"Thursday",28,"July",2016,"W MORGAN ST","No Special Feature","Clear","No control present"
"Sunday",7,"August",2016,"S WILMINGTON ST","No Special Feature","Cloudy","No control present"
