"county","census_tract","population","ozone_pollution","particle_pollution","cancer_life_prob","disposal_area","lead_area","park_area","walkability","highway_area","impaired_water","minority","minority_category","poverty","uninsured","no_high_school","unemployed","high_blood_pressure","asthma","cancer","mental_health","diabetes","env_burden_rank","health_vuln_rank","social_vuln_rank","env_justice_rank"
"Alamance",201,4058,0,9.52,36.42,0,0,100,10.54,100,41.91,40.5,"btwn_25_50",46.379,11.3,14.2,8.4,36.5,10.5,7.1,15.7,13,0.5782,0.8,0.8754,0.8946
"Alamance",202,4093,0,9.52,35.58,0,0,100,8.58,99.37,10.64,63.9,"btwn_50_75",74.3074,16.8,28.1,10.5,40.5,11.7,6.3,19.1,17,0.5599,0.8,0.9821,0.9179
"Alamance",203,7400,0,9.51,34.74,0,0,98.72,7.33,85.16,8.66,75.2,"greater_75",58.47,21.3,26.5,6.2,40.5,10.8,7.2,16.3,15.9,0.6145,0.8,0.9818,0.9314
"Alamance",204,6746,0,9.47,34.88,0,0,63.31,6.27,30.05,14.09,81.2,"greater_75",59.0714,16.6,17.5,8.3,44.7,11.8,6.1,17.2,18.8,0.308,0.8,0.9778,0.8472
"Alamance",205.01,3819,0.33,9.49,34.52,0,0,8.12,6.75,0,29.82,30,"btwn_25_50",36.5298,13,8.4,8.9,33.2,10.2,6.5,15.4,11,0.41,0,0.6804,0.4081
"Alamance",205.02,4012,0,9.48,35.07,0,0,81.08,7.56,24.44,10.4,69,"btwn_50_75",46.1422,16.1,27.6,10.6,38.3,11.3,5.5,17.4,14.3,0.3319,0.8,0.9616,0.8497
"Alamance",206.01,3113,0.33,9.52,36.85,0,0,17.39,6.94,76.45,26.84,6.6,"less_25",8.4306,2.5,4,0.6,35.7,8,10.4,9.2,10.1,0.5874,0.4,0.0113,0.3539
"Alamance",206.02,2638,0,9.51,35.14,0,0,97.08,7.5,62.46,46.02,11.7,"less_25",21.4789,4.8,3.8,1.7,36,8.5,10,10.7,10.5,0.4441,0.4,0.4125,0.5015
"Alamance",207.01,4973,0,9.53,39.13,0,0,13.78,9.08,99.29,3.58,25.3,"btwn_25_50",29.8701,6.9,6.8,3.9,35.8,9,9.1,11.7,11.3,0.5341,0.4,0.5567,0.6184
"Alamance",207.02,4941,0,9.53,36.07,0,0,42.66,8.54,81.16,11.53,49.2,"btwn_25_50",51.1233,11.2,16.3,13,33.9,10.8,6.5,17,12.4,0.5252,0.6,0.8084,0.798
"Alamance",208.01,1661,0,9.53,35.02,0,0,15.24,6.25,41.11,12.61,40.3,"btwn_25_50",34.1963,11,18.2,3.9,37,10,8.2,14.9,12.6,0.5245,0.6,0.7095,0.7618
"Alamance",208.02,5915,0,9.53,35.94,0,0,100,8.72,78.08,44.99,75.5,"greater_75",76.4426,25.3,42.6,5.2,40.1,12.4,6.1,20.8,17,0.5386,0.8,0.9826,0.9126
