"","sex","year","name","number"
"1","F",1910,"Mary",837
"2","F",1910,"Annie",401
"3","F",1910,"Ruth",235
"4","F",1910,"Ethel",199
"5","F",1910,"Elizabeth",191
"6","F",1910,"Margaret",171
"7","F",1910,"Lillie",167
"8","F",1910,"Bessie",163
"9","F",1910,"Ruby",139
"10","F",1910,"Sarah",139
"11","F",1910,"Louise",137
"12","F",1910,"Minnie",131
"13","F",1910,"Helen",129
"14","F",1910,"Mattie",128
"15","F",1910,"Eva",126
"16","F",1910,"Martha",126
"17","F",1910,"Lillian",125
"18","F",1910,"Bertha",124
"19","F",1910,"Carrie",123
"20","F",1910,"Edna",123
"21","F",1910,"Myrtle",123
"22","F",1910,"Alice",118
"23","F",1910,"Gladys",116
"24","F",1910,"Mildred",116
"25","F",1910,"Thelma",116
"26","F",1910,"Pearl",114
"27","F",1910,"Virginia",113
"28","F",1910,"Hattie",107
"29","F",1910,"Maggie",106
"30","F",1910,"Emma",104
"31","F",1910,"Lucy",102
"32","F",1910,"Nellie",98
"33","F",1910,"Clara",95
"34","F",1910,"Hazel",95
"35","F",1910,"Mamie",95
"36","F",1910,"Dorothy",94
"37","F",1910,"Frances",94
"38","F",1910,"Rosa",94
"39","F",1910,"Grace",93
"40","F",1910,"Marie",92
"41","F",1910,"Lucille",90
"42","F",1910,"Ida",89
"43","F",1910,"Lula",88
"44","F",1910,"Irene",87
"45","F",1910,"Willie",87
"46","F",1910,"Beatrice",85
"47","F",1910,"Jessie",85
"48","F",1910,"Pauline",84
"49","F",1910,"Beulah",83
"50","F",1910,"Cora",83
"51","F",1910,"Ella",79
"52","F",1910,"Josephine",78
"53","F",1910,"Mae",76
"54","F",1910,"Viola",76
"55","F",1910,"Fannie",75
"56","F",1910,"Evelyn",74
"57","F",1910,"Sallie",73
"58","F",1910,"Laura",71
"59","F",1910,"Julia",70
"60","F",1910,"Gertrude",69
"61","F",1910,"Katie",69
"62","F",1910,"Lena",68
"63","F",1910,"Sadie",68
"64","F",1910,"Edith",65
"65","F",1910,"Esther",64
"66","F",1910,"Ada",63
"67","F",1910,"Mabel",62
"68","F",1910,"Anna",61
"69","F",1910,"Catherine",60
"70","F",1910,"Daisy",59
"71","F",1910,"Alma",58
"72","F",1910,"Eula",58
"73","F",1910,"Blanche",57
"74","F",1910,"Elsie",57
"75","F",1910,"Essie",57
"76","F",1910,"Maude",57
"77","F",1910,"Lizzie",56
"78","F",1910,"Addie",55
"79","F",1910,"Florence",53
"80","F",1910,"Geneva",53
"81","F",1910,"Estelle",51
"82","F",1910,"Georgia",51
"83","F",1910,"Inez",50
"84","F",1910,"Nancy",50
"85","F",1910,"Flossie",49
"86","F",1910,"Flora",48
"87","F",1910,"Susie",47
"88","F",1910,"Janie",43
"89","F",1910,"Betty",42
"90","F",1910,"Effie",42
"91","F",1910,"Mable",42
"92","F",1910,"Dora",41
"93","F",1910,"Nannie",41
"94","F",1910,"Ollie",41
"95","F",1910,"Lottie",40
"96","F",1910,"Lessie",39
"97","F",1910,"Lois",39
"98","F",1910,"Agnes",38
"99","F",1910,"Nora",37
"100","F",1910,"Lola",35
"101","F",1910,"Nettie",35
"102","F",1910,"Eunice",34
"103","F",1910,"Etta",33
"104","F",1910,"Katherine",33
"105","F",1910,"Vera",33
"106","F",1910,"Rose",32
"107","F",1910,"Della",31
"108","F",1910,"Nina",31
"109","F",1910,"Bernice",30
"110","F",1910,"Lela",29
"111","F",1910,"Leona",29
"112","F",1910,"Doris",28
"113","F",1910,"Marjorie",28
"114","F",1910,"Ola",27
"115","F",1910,"Rachel",27
"116","F",1910,"Anne",26
"117","F",1910,"Ellen",26
"118","F",1910,"Rebecca",26
"119","F",1910,"Stella",26
"120","F",1910,"Ann",25
"121","F",1910,"Bettie",25
"122","F",1910,"Bonnie",25
"123","F",1910,"Christine",25
"124","F",1910,"Jennie",25
"125","F",1910,"Margie",25
"126","F",1910,"Callie",24
"127","F",1910,"Kate",24
"128","F",1910,"Ora",24
"129","F",1910,"Alberta",22
"130","F",1910,"Nell",22
"131","F",1910,"Sally",22
"132","F",1910,"Mollie",21
"133","F",1910,"Rena",21
"134","F",1910,"Eliza",20
"135","F",1910,"Emily",20
"136","F",1910,"Estella",20
"137","F",1910,"Kathleen",20
"138","F",1910,"Lucile",20
"139","F",1910,"May",20
"140","F",1910,"Roberta",19
"141","F",1910,"Selma",19
"142","F",1910,"Vivian",19
"143","F",1910,"Allie",18
"144","F",1910,"Dollie",18
"145","F",1910,"Gracie",18
"146","F",1910,"Hallie",18
"147","F",1910,"Rosie",18
"148","F",1910,"Susan",18
"149","F",1910,"Wilma",18
"150","F",1910,"Juanita",17
"151","F",1910,"Marion",17
"152","F",1910,"Pattie",17
"153","F",1910,"Pearlie",17
"154","F",1910,"Rosetta",17
"155","F",1910,"Sudie",17
"156","F",1910,"Violet",17
"157","F",1910,"Charlotte",16
