Taxa,Pollution
Caddisfly larvae,Sensitive
Hellgrammites,Sensitive
Riffle beetles,Sensitive
Mayfly nymphs,Sensitive
Gilled Snails,Sensitive
Stonefly nymphs,Sensitive
Water penny larvae,Sensitive
Beetle larvae,Somewhat sensitive
Clams,Somewhat sensitive
Crayfish,Somewhat sensitive
Cranefly larvae,Somewhat sensitive
Scuds,Somewhat sensitive
Limpets,Somewhat sensitive
Damselfly,Somewhat sensitive
Sowbugs,Somewhat sensitive
Aquatic worms,Tolerant
Midge larvae,Tolerant
Blackfly larvae,Tolerant
Leeches,Tolerant
Pondstrider,Tolerant
Snails,Tolerant
