"Site","Stream","precip","Date"
"BDB1","Beaverdam Branch",0,2008-01-01
"BB2","Big Branch",0,2008-01-01
"BBS3","Big Branch South",0,2008-01-01
"CC4","Crabtree Creek",0,2008-01-01
"CC5","Crabtree Creek",0,2008-01-01
"HSC6","Hare Snipe Creek",0,2008-01-01
"HC7","House Creek",0,2008-01-01
"LBC8","Little Brier Creek",0,2008-01-01
"MC9","Marsh Creek",0,2008-01-01
"MC10","Mine Creek",0,2008-01-01
"PC11","Perry Creek",0,2008-01-01
"PHB12","Pigeon House Branch",0,2008-01-01
"RC13","Richland Creek",0,2008-01-01
"RC14","Richland Creek-WF",0,2008-01-01
"RB15","Rocky Branch",0,2008-01-01
"SC16","Sycamore Creek",0,2008-01-01
"TC17","Turkey Creek",0,2008-01-01
"WC18","Walnut Creek",0,2008-01-01
"BDB1","Beaverdam Branch",0,2008-01-02
"BB2","Big Branch",0,2008-01-02
"BBS3","Big Branch South",0,2008-01-02
"CC4","Crabtree Creek",0,2008-01-02
"CC5","Crabtree Creek",0,2008-01-02
"HSC6","Hare Snipe Creek",0,2008-01-02
"HC7","House Creek",0,2008-01-02
"LBC8","Little Brier Creek",0,2008-01-02
"MC9","Marsh Creek",0,2008-01-02
"MC10","Mine Creek",0,2008-01-02
"PC11","Perry Creek",0,2008-01-02
"PHB12","Pigeon House Branch",0,2008-01-02
"RC13","Richland Creek",0,2008-01-02
"RC14","Richland Creek-WF",0,2008-01-02
"RB15","Rocky Branch",0,2008-01-02
"SC16","Sycamore Creek",0,2008-01-02
"TC17","Turkey Creek",0,2008-01-02
"WC18","Walnut Creek",0,2008-01-02
"BDB1","Beaverdam Branch",0,2008-01-03
"BB2","Big Branch",0,2008-01-03
"BBS3","Big Branch South",0,2008-01-03
"CC4","Crabtree Creek",0,2008-01-03
"CC5","Crabtree Creek",0,2008-01-03
"HSC6","Hare Snipe Creek",0,2008-01-03
"HC7","House Creek",0,2008-01-03
"LBC8","Little Brier Creek",0,2008-01-03
"MC9","Marsh Creek",0,2008-01-03
"MC10","Mine Creek",0,2008-01-03
"PC11","Perry Creek",0,2008-01-03
"PHB12","Pigeon House Branch",0,2008-01-03
"RC13","Richland Creek",0,2008-01-03
"RC14","Richland Creek-WF",0,2008-01-03
"RB15","Rocky Branch",0,2008-01-03
"SC16","Sycamore Creek",0,2008-01-03
"TC17","Turkey Creek",0,2008-01-03
"WC18","Walnut Creek",0,2008-01-03
"BDB1","Beaverdam Branch",0,2008-01-04
"BB2","Big Branch",0,2008-01-04
"BBS3","Big Branch South",0,2008-01-04
"CC4","Crabtree Creek",0,2008-01-04
"CC5","Crabtree Creek",0,2008-01-04
"HSC6","Hare Snipe Creek",0,2008-01-04
"HC7","House Creek",0,2008-01-04
"LBC8","Little Brier Creek",0,2008-01-04
"MC9","Marsh Creek",0,2008-01-04
"MC10","Mine Creek",0,2008-01-04
"PC11","Perry Creek",0,2008-01-04
"PHB12","Pigeon House Branch",0,2008-01-04
"RC13","Richland Creek",0,2008-01-04
"RC14","Richland Creek-WF",0,2008-01-04
"RB15","Rocky Branch",0,2008-01-04
"SC16","Sycamore Creek",0,2008-01-04
"TC17","Turkey Creek",0,2008-01-04
"WC18","Walnut Creek",0,2008-01-04
"BDB1","Beaverdam Branch",0,2008-01-05
"BB2","Big Branch",0,2008-01-05
"BBS3","Big Branch South",0,2008-01-05
"CC4","Crabtree Creek",0,2008-01-05
"CC5","Crabtree Creek",0,2008-01-05
"HSC6","Hare Snipe Creek",0,2008-01-05
"HC7","House Creek",0,2008-01-05
"LBC8","Little Brier Creek",0,2008-01-05
"MC9","Marsh Creek",0,2008-01-05
"MC10","Mine Creek",0,2008-01-05
"PC11","Perry Creek",0,2008-01-05
"PHB12","Pigeon House Branch",0,2008-01-05
"RC13","Richland Creek",0,2008-01-05
"RC14","Richland Creek-WF",0,2008-01-05
"RB15","Rocky Branch",0,2008-01-05
"SC16","Sycamore Creek",0,2008-01-05
"TC17","Turkey Creek",0,2008-01-05
"WC18","Walnut Creek",0,2008-01-05
"BDB1","Beaverdam Branch",0,2008-01-06
"BB2","Big Branch",0,2008-01-06
"BBS3","Big Branch South",0,2008-01-06
"CC4","Crabtree Creek",0,2008-01-06
"CC5","Crabtree Creek",0,2008-01-06
"HSC6","Hare Snipe Creek",0,2008-01-06
"HC7","House Creek",0,2008-01-06
"LBC8","Little Brier Creek",0,2008-01-06
"MC9","Marsh Creek",0,2008-01-06
"MC10","Mine Creek",0,2008-01-06
"PC11","Perry Creek",0,2008-01-06
"PHB12","Pigeon House Branch",0,2008-01-06
"RC13","Richland Creek",0,2008-01-06
"RC14","Richland Creek-WF",0,2008-01-06
"RB15","Rocky Branch",0,2008-01-06
"SC16","Sycamore Creek",0,2008-01-06
"TC17","Turkey Creek",0,2008-01-06
"WC18","Walnut Creek",0,2008-01-06
"BDB1","Beaverdam Branch",0,2008-01-07
"BB2","Big Branch",0,2008-01-07
"BBS3","Big Branch South",0,2008-01-07
"CC4","Crabtree Creek",0,2008-01-07
"CC5","Crabtree Creek",0,2008-01-07
"HSC6","Hare Snipe Creek",0,2008-01-07
"HC7","House Creek",0,2008-01-07
"LBC8","Little Brier Creek",0,2008-01-07
"MC9","Marsh Creek",0,2008-01-07
"MC10","Mine Creek",0,2008-01-07
"PC11","Perry Creek",0,2008-01-07
"PHB12","Pigeon House Branch",0,2008-01-07
"RC13","Richland Creek",0,2008-01-07
"RC14","Richland Creek-WF",0,2008-01-07
"RB15","Rocky Branch",0,2008-01-07
