"date","name","status","category","wind","pressure","tropicalstorm_force_diameter","hurricane_force_diameter"
1991-11-02,"AL121991","hurricane",1,65,981,NA,NA
2000-08-23,"Alberto","hurricane",1,65,987,NA,NA
2016-01-15,"Alex","hurricane",1,65,986,370,20
1983-08-18,"Alicia","hurricane",1,80,965,NA,NA
1980-08-10,"Allen","hurricane",1,70,970,NA,NA
1995-06-05,"Allison","hurricane",1,65,988,NA,NA
1992-08-26,"Andrew","hurricane",1,80,973,NA,NA
1977-09-02,"Anita","hurricane",1,70,978,NA,NA
1987-08-23,"Arlene","hurricane",1,65,988,NA,NA
2014-07-05,"Arthur","hurricane",1,65,976,220,90
1977-09-05,"Babe","hurricane",1,65,995,NA,NA
2019-07-13,"Barry","hurricane",1,65,993,220,40
1976-08-10,"Belle","hurricane",1,80,977,NA,NA
2014-08-05,"Bertha","hurricane",1,65,1001,140,20
2018-07-07,"Beryl","hurricane",1,65,995,50,10
2005-10-30,"Beta","hurricane",2,90,970,100,30
2009-08-24,"Bill","hurricane",1,65,973,465,80
1975-07-28,"Blanche","hurricane",1,70,980,NA,NA
1991-08-19,"Bob","hurricane",2,85,964,NA,NA
2022-07-08,"Bonnie","hurricane",1,65,989,110,25
1999-08-23,"Bret","hurricane",1,80,963,NA,NA
1976-08-23,"Candice","hurricane",1,80,971,NA,NA
1975-08-31,"Caroline","hurricane",2,90,963,NA,NA
1996-07-28,"Cesar","hurricane",1,70,990,NA,NA
1989-08-01,"Chantal","hurricane",1,70,986,NA,NA
2004-08-14,"Charley","hurricane",1,65,997,NA,NA
2018-07-12,"Chris","hurricane",1,65,985,280,65
2005-07-06,"Cindy","hurricane",1,65,991,NA,NA
1977-09-09,"Clara","hurricane",1,65,998,NA,NA
2003-07-15,"Claudette","hurricane",1,70,984,NA,NA
1978-08-09,"Cora","hurricane",1,65,998,NA,NA
2014-08-29,"Cristobal","hurricane",1,70,967,410,70
2022-09-08,"Danielle","hurricane",1,65,973,350,110
2015-08-22,"Danny","hurricane",1,65,990,80,10
1979-09-05,"David","hurricane",1,65,972,NA,NA
2007-08-22,"Dean","hurricane",1,75,974,290,30
2000-08-23,"Debby","hurricane",1,65,995,NA,NA
2020-10-10,"Delta","hurricane",1,75,971,240,40
2005-07-10,"Dennis","hurricane",3,105,946,NA,NA
1990-08-07,"Diana","hurricane",2,85,980,NA,NA
2008-07-24,"Dolly","hurricane",1,65,976,145,30
2019-09-07,"Dorian","hurricane",2,85,954,440,130
1975-09-03,"Doris","hurricane",2,90,970,NA,NA
1977-09-29,"Dorothy","hurricane",1,65,988,NA,NA
2022-09-10,"Earl","hurricane",1,80,964,680,120
2014-09-18,"Edouard","hurricane",1,65,973,290,90
1985-09-02,"Elena","hurricane",3,100,959,NA,NA
1978-09-05,"Ella","hurricane",1,65,980,NA,NA
1975-09-23,"Eloise","hurricane",3,110,955,NA,NA
2021-07-07,"Elsa","hurricane",1,65,996,140,20
2005-07-20,"Emily","hurricane",3,110,944,215,85
1976-09-04,"Emmy","hurricane",1,65,994,NA,NA
2020-10-25,"Epsilon","hurricane",1,65,964,560,60
2003-08-16,"Erika","hurricane",1,65,988,NA,NA
2001-09-14,"Erin","hurricane",1,65,984,NA,NA
2012-08-08,"Ernesto","hurricane",1,80,973,210,30
2020-11-11,"Eta","hurricane",1,65,983,140,50
1977-10-15,"Evelyn","hurricane",1,70,999,NA,NA
2003-09-08,"Fabian","hurricane",1,65,980,NA,NA
2014-10-12,"Fay","hurricane",1,70,983,270,20
1975-09-29,"Faye","hurricane",1,65,977,NA,NA
2007-09-04,"Felix","hurricane",2,85,962,115,40
2022-09-23,"Fiona","hurricane",3,110,940,500,180
2018-09-14,"Florence","hurricane",1,65,969,270,30
1978-09-15,"Flossie","hurricane",1,65,992,NA,NA
1999-09-16,"Floyd","hurricane",1,70,967,NA,NA
1996-09-06,"Fran","hurricane",1,65,970,NA,NA
2004-09-05,"Frances","hurricane",1,80,969,300,90
2017-08-10,"Franklin","hurricane",1,70,990,220,30
2015-09-01,"Fred","hurricane",1,65,991,130,20
1979-09-13,"Frederic","hurricane",1,65,975,NA,NA
2001-09-17,"Gabrielle","hurricane",1,70,983,NA,NA
2020-10-03,"Gamma","hurricane",1,65,978,120,15
2016-09-02,"Gaston","hurricane",1,65,988,230,70
1998-09-28,"Georges","hurricane",1,65,984,NA,NA
2017-08-17,"Gert","hurricane",1,80,968,280,40
1988-09-17,"Gilbert","hurricane",1,80,964,NA,NA
1975-10-03,"Gladys","hurricane",2,85,960,NA,NA
1985-09-27,"Gloria","hurricane",1,75,964,NA,NA
2014-10-19,"Gonzalo","hurricane",1,70,970,360,120
2012-08-20,"Gordon","hurricane",1,65,984,170,50
2021-08-21,"Grace","hurricane",3,100,969,210,50
1978-09-19,"Greta","hurricane",2,95,964,NA,NA
2008-09-01,"Gustav","hurricane",2,85,958,290,55
2020-07-26,"Hanna","hurricane",1,75,976,160,25
2017-08-26,"Harvey","hurricane",1,65,978,190,40
2018-09-13,"Helene","hurricane",1,65,985,220,70
2021-08-22,"Henri","hurricane",1,65,986,160,30
2016-09-02,"Hermine","hurricane",1,65,982,190,30
1976-10-25,"Holly","hurricane",1,65,995,NA,NA
1996-09-15,"Hortense","hurricane",1,65,980,NA,NA
1989-09-22,"Hugo","hurricane",2,85,952,NA,NA
2019-09-19,"Humberto","hurricane",1,80,961,530,130
2022-09-30,"Ian","hurricane",1,70,978,290,40
2021-08-30,"Ida","hurricane",1,65,978,170,30
2010-09-21,"Igor","hurricane",1,75,950,750,135
2008-09-13,"Ike","hurricane",2,85,959,250,80
2013-09-16,"Ingrid","hurricane",1,70,989,130,15
2020-11-17,"Iota","hurricane",1,75,965,270,30
2011-08-28,"Irene","hurricane",1,65,958,390,75
2001-10-09,"Iris","hurricane",4,125,948,NA,NA
2017-09-11,"Irma","hurricane",1,65,961,510,80
2018-09-10,"Isaac","hurricane",1,65,995,60,10
2003-09-19,"Isabel","hurricane",1,65,969,NA,NA
2020-08-04,"Isaias","hurricane",1,80,986,170,40
2002-09-23,"Isidore","hurricane",1,70,952,NA,NA
2004-09-16,"Ivan","hurricane",1,70,965,325,80
2004-09-26,"Jeanne","hurricane",1,75,965,275,30
2019-09-20,"Jerry","hurricane",1,65,991,120,15
1988-10-22,"Joan","hurricane",1,70,983,NA,NA
2015-10-07,"Joaquin","hurricane",1,65,977,390,70
2017-09-19,"Jose","hurricane",1,65,971,360,40
1990-10-06,"Josephine","hurricane",1,70,985,NA,NA
2000-09-29,"Joyce","hurricane",1,65,984,NA,NA
2003-09-29,"Juan","hurricane",1,65,982,NA,NA
2022-10-09,"Julia","hurricane",1,65,985,140,30
2007-09-26,"Karen","hurricane",1,65,990,180,50
2010-09-17,"Karl","hurricane",2,90,979,150,35
2015-11-11,"Kate","hurricane",1,65,980,330,40
2017-09-09,"Katia","hurricane",1,65,990,100,25
2005-08-29,"Katrina","hurricane",1,80,948,280,80
2000-10-05,"Keith","hurricane",1,80,980,NA,NA
1978-10-30,"Kendra","hurricane",1,65,998,NA,NA
2012-09-01,"Kirk","hurricane",1,65,990,100,15
1990-10-06,"Klaus","hurricane",1,65,992,NA,NA
2008-09-29,"Kyle","hurricane",1,65,985,320,110
2021-09-11,"Larry","hurricane",1,65,959,420,90
2020-08-27,"Laura","hurricane",2,85,970,180,50
2017-09-29,"Lee","hurricane",1,65,985,210,30
1999-11-19,"Lenny","hurricane",1,70,986,NA,NA
2018-10-13,"Leslie","hurricane",1,65,979,330,50
2002-10-03,"Lili","hurricane",1,80,963,NA,NA
2022-11-03,"Lisa","hurricane",1,65,990,90,15
2019-10-02,"Lorenzo","hurricane",1,80,959,610,230
1995-09-10,"Luis","hurricane",2,85,961,NA,NA
2020-08-23,"Marco","hurricane",1,65,992,130,15
2017-09-28,"Maria","hurricane",1,65,979,360,90
1995-09-21,"Marilyn","hurricane",1,65,987,NA,NA
2022-11-03,"Martin","hurricane",1,75,965,450,80
2016-10-09,"Matthew","hurricane",1,70,983,350,50
2018-10-11,"Michael","hurricane",1,80,957,180,25
2001-11-05,"Michelle","hurricane",1,75,980,NA,NA
1998-10-29,"Mitch","hurricane",1,70,987,NA,NA
2012-10-01,"Nadine","hurricane",1,65,988,190,30
2020-09-03,"Nana","hurricane",1,65,994,100,10
2017-10-08,"Nate","hurricane",1,65,984,170,30
2021-09-14,"Nicholas","hurricane",1,65,991,190,25
2022-11-10,"Nicole","hurricane",1,65,980,570,20
2007-11-02,"Noel","hurricane",1,70,980,420,90
2001-11-29,"Olga","hurricane",1,65,987,NA,NA
2008-10-17,"Omar","hurricane",1,65,985,165,20
1995-10-05,"Opal","hurricane",1,80,950,NA,NA
2017-10-15,"Ophelia","hurricane",1,80,959,400,80
2018-10-31,"Oscar","hurricane",1,70,974,360,70
2016-11-25,"Otto","hurricane",1,65,992,90,10
2019-10-27,"Pablo","hurricane",1,70,977,90,10
2008-11-09,"Paloma","hurricane",2,85,970,130,30
2010-10-14,"Paula","hurricane",1,70,995,90,20
2020-09-16,"Paulette","hurricane",1,80,968,440,130
2011-10-08,"Philippe","hurricane",1,65,986,165,30
2012-10-17,"Rafael","hurricane",1,65,972,420,90
2010-10-25,"Richard","hurricane",1,65,988,110,15
2011-10-27,"Rina","hurricane",1,65,987,135,30
2005-09-24,"Rita","hurricane",1,65,949,210,60
1995-10-17,"Roxanne","hurricane",1,65,991,NA,NA
2020-09-16,"Sally","hurricane",2,85,967,190,50
2021-10-05,"Sam","hurricane",1,75,965,570,70
2012-10-29,"Sandy","hurricane",1,80,940,840,300
2010-10-30,"Shary","hurricane",1,65,991,150,10
2005-10-04,"Stan","hurricane",1,70,977,165,30
1995-11-01,"Tanya","hurricane",1,65,974,NA,NA
2020-09-23,"Teddy","hurricane",1,65,954,740,190
2010-11-07,"Tomas","hurricane",1,65,990,175,20
2005-10-09,"Vince","hurricane",1,65,988,140,30
2005-10-25,"Wilma","hurricane",1,75,976,575,120
2020-10-29,"Zeta","hurricane",2,85,973,160,40
